run_id,evaluated_at_utc,id,category,query,response,http_status,retries,latency_ms,reply_chars,link_count,thread_id,error,grounded_pass,routing_pass,hallucination_pass,dm_style_pass,actionability_pass,tone_pass,link_discipline_pass,notes
eval-20260401-072041,2026-04-01T07:20:46.533698+00:00,1,Beforest As A Whole,What is Beforest?,Beforest creates regenerative living communities that restore landscapes and redefine how modern societies coexist with nature—making it practical and fulfilling to live connected to the earth.,200,0,4565.9,193,0,eval-20260401-072041-001,,,,,,,,,
eval-20260401-072041,2026-04-01T07:20:51.856755+00:00,2,Beforest As A Whole,What does Beforest do?,"Beforest curates immersive experiences, retreats, and stays in wild places to help people reconnect with nature. Visit https://beforest.co to explore.",200,0,5322.9,150,1,eval-20260401-072041-002,,,,,,,,,
eval-20260401-072041,2026-04-01T07:20:56.423648+00:00,3,Beforest As A Whole,Can you explain Beforest in simple words?,"Beforest creates practical, modern communities that reconnect people with nature—balancing ecology, economy, and inspiration through regenerative living.",200,0,4566.8,153,0,eval-20260401-072041-003,,,,,,,,,
eval-20260401-072041,2026-04-01T07:21:00.534969+00:00,4,Beforest As A Whole,What is the idea behind Beforest?,"Beforest was founded on the idea that human settlements can restore nature rather than harm it, creating communities where regenerative living is both desirable and achievable.",200,0,4111.2,176,0,eval-20260401-072041-004,,,,,,,,,
eval-20260401-072041,2026-04-01T07:21:05.797172+00:00,5,Beforest As A Whole,What makes Beforest different?,"Beforest focuses on immersive, nature-based experiences that prioritize personal growth and connection over typical tourism. Explore more at https://beforest.co.",200,0,5262.1,161,1,eval-20260401-072041-005,,,,,,,,,
eval-20260401-072041,2026-04-01T07:21:09.580102+00:00,6,Beforest As A Whole,"Is Beforest a brand, a place, or a community?","Beforest is a brand that builds regenerative communities and collectives—long-term journeys blending ecology, economy, and inspiration. Check out https://beforest.co for more.",200,0,3782.8,175,1,eval-20260401-072041-006,,,,,,,,,
eval-20260401-072041,2026-04-01T07:21:13.772455+00:00,7,Beforest As A Whole,What is Beforest building?,"Beforest is building regenerative living communities across India that restore degraded landscapes, rebuild ecosystems, and create sustainable livelihoods through collective ownership and circular living.",200,0,4192.3,204,0,eval-20260401-072041-007,,,,,,,,,
eval-20260401-072041,2026-04-01T07:21:19.653430+00:00,8,Beforest As A Whole,What is Beforest about?,"Beforest curates immersive experiences in nature, from retreats and stays to products that deepen connection to the wild. Dive in at beforest.co.",200,0,5880.9,145,0,eval-20260401-072041-008,,,,,,,,,
eval-20260401-072041,2026-04-01T07:21:42.678149+00:00,9,Beforest As A Whole,What does Beforest stand for?,"Beforest isn't an acronym—it's a brand name inspired by regenerative landscapes and holistic living. Our core principles emphasize interconnected systems, community action, and long-term ecology.",200,0,23024.6,195,0,eval-20260401-072041-009,,,,,,,,,
eval-20260401-072041,2026-04-01T07:21:48.065329+00:00,10,Beforest As A Whole,Who is Beforest for?,"Beforest is for individuals, communities, and landowners in India seeking practical, modern ways to live with nature—through regenerative collectives that restore ecosystems, farms, and homes while fostering wellbeing…",200,0,5387.1,218,0,eval-20260401-072041-010,,,,,,,,,
